"","gsm","gse","gsm_title","platform","blood.subgroup","predsex","predage","predcell.CD8T","predcell.CD4T","predcell.NK","predcell.Bcell","predcell.Mono","predcell.Gran","glint.epi.pc1","glint.epi.pc2"
"GSM3440508.1607013450.hlink.GSM3440508_6929742023_R05C01","GSM3440508","GSE121633","ERC45KI2301 genomic DNA from whole blood","hm450k","whole_blood","F",47.128,"0.063","0.241","0.072","0.077","0.09","0.463",-20.56178,-0.8587976
"GSM3440509.1607013450.hlink.GSM3440509_6929742023_R06C01","GSM3440509","GSE121633","ERC45KI2302 genomic DNA from whole blood","hm450k","whole_blood","F",48.546,"0.066","0.153","0.038","0.044","0.09","0.604",-16.94019,-1.696225
"GSM3440510.1607013450.hlink.GSM3440510_6042316073_R05C02","GSM3440510","GSE121633","ERC45KI2321 genomic DNA from whole blood","hm450k","whole_blood","F",64.105,"0.036","0.128","0.079","0.042","0.073","0.643",6.600571,4.105546
"GSM3440511.1607013450.hlink.GSM3440511_6929806056_R04C02","GSM3440511","GSE121633","ERC45KI2331 genomic DNA from whole blood","hm450k","whole_blood","F",70.567,"0.075","0.036","0.102","0.061","0.095","0.646",9.753683,1.604063
"GSM3440512.1607013450.hlink.GSM3440512_6929742002_R05C01","GSM3440512","GSE121633","ERC45KI2332 genomic DNA from whole blood","hm450k","whole_blood","F",72.898,"0.091","0.125","0.135","0.059","0.09","0.505",-9.966312,3.176195
"GSM3440513.1607013450.hlink.GSM3440513_6057825006_R02C02","GSM3440513","GSE121633","ERC45KI2361 genomic DNA from whole blood","hm450k","whole_blood","F",72.154,"0.007","0.135","0.078","0.016","0.099","0.643",1.036391,4.272438
"GSM3440514.1607013450.hlink.GSM3440514_6042316073_R03C02","GSM3440514","GSE121633","ERC45KI2371 genomic DNA from whole blood","hm450k","whole_blood","F",67.357,"0.033","0.14","0.065","0.066","0.086","0.646",14.43613,-4.434187
"GSM3440515.1607013450.hlink.GSM3440515_6042316028_R04C01","GSM3440515","GSE121633","ERC45KI2421 genomic DNA from whole blood","hm450k","whole_blood","F",60.904,"0.044","0.202","0.052","0.004","0.07","0.625",2.233768,3.249123
"GSM3440516.1607013450.hlink.GSM3440516_6042316131_R01C01","GSM3440516","GSE121633","ERC45KI2431 genomic DNA from whole blood","hm450k","whole_blood","F",61.72,"0.098","0.148","0.092","0.017","0.028","0.627",13.61683,13.39657
"GSM3440517.1607013450.hlink.GSM3440517_6042316131_R02C01","GSM3440517","GSE121633","ERC45KI2432 genomic DNA from whole blood","hm450k","whole_blood","F",63.794,"0.228","0.179","0.059","0.001","0.055","0.467",13.36954,20.64391
